wallet,credit_score
0x754732d5987d1d7418bba1ae0fc394f489ed05fc,100.0
0x84eaeed5c646fe8c65a7d0f913765c9d1d1c5495,98.68951148677411
0xff33e152a55d9f2364d3b193b5015551822a87c3,96.72377871713456
0x57ca561798413a20508b6bc997481e784f3e6e5f,96.068534460329
0xc629c432925569803f88c58c073d891878edb2a4,96.06853446032292
0x49a8af97336575cfbd6bc80333af825da7e58276,95.41760145910422
0x388b93c535b5c3ccdb14770516d7caf5590ed009,94.88158266488999
0x1a26324c9628c12646bc0f1e19aea29ec3e73069,94.78063279238508
0x1eadf920f242fbf927c8b2a1a157790af0547cdd,94.7580459470973
0xe7872e12d45c83b12b0974f72f033b25ec6edb1f,94.10280559877785
0xf975c3dec242e71d1d3066ec1cdb4a9e8640a208,94.10280169560393
0xb25de016514f6a74a83c74d2c179296813acb93b,94.10280169052346
0xb7c370ba8c562b737fb90ebaa311448060ce52ae,94.10280169048454
0xfbf559ff05e2cc602891bf56861cf3bf42b7bfba,93.50598308215568
0xe21ad9710a96a50f6f5a13ac4600fae126c5cc1f,93.44755744165974
0x0a3916df4ee8966c8003f5388b92b189b3563134,93.44755743393401
0xa320f07e67cc5e6008342490710e56d028c16a51,93.4475574338725
0xcf0c58a80bf3bc0395f7c0895f4945b6a325e262,93.44755743387171
0xe9d67d01dfd5569fd78565c9fb2a0c372eda7fe3,93.44755743387171
0x80cd9d5765a8e19835f046978eba04401c8c9d69,93.44592209419731
0x8ba0ccb6c77d1f07775d42d608433ecdf25f2997,92.8702223499768
0x84ca1d69f45e510591e4adea4925dcda57a479c5,92.80013151642223
0xa5ccd262702697cda41dd97b598f4de95c596309,92.79270374806866
0x5b7aa47a8ae661db9e63030f57f68134317ba205,92.79250787736956
0xdbbc0936a867487d3cf6cf3ae968b1c8f17f2a76,92.79239108954508
0x9428e55418755b2f902d3b1f898a871ab5634182,92.79231317725926
0x59d206ee603f2e0378433f8c5f17af53bb769869,92.7923131772589
0xcb4535893d7227cd8ae3071e7eb6aa6fdd29bfea,92.7923131772589
0x037794c3769b65c82392be5eee1dc8bc175006da,92.7923131772589
0x330513970efd9e8dd606275fb4c50378989b3204,92.7923131772589
0x6b108433be59e917efa929e5f3e95acdbd2d59b9,92.7923131772589
0xe54dae18b3af0a840c72cc8c0a0c2200acbf6ade,92.79231317725868
0xd4fa2c09dfdab264a0ffa6c79683595a963d6ecc,92.14502526078617
0x02b900ce068b3e615b5b13bcfeafb60b61c8ca94,92.14106232040821
0xbc55ddde7e65cca2a662c76fed091c682ed105f2,92.13746865837332
0x85e769a5efb61cfc6e2bed909b33cafffe0f926d,92.13732329405893
0x52b2b65928ce35d0b22b375e013b0539b4d5843f,92.1371546039904
0xe62721e908b7cbd4f92a014d5ccf07adbf71933b,92.13706931827183
0x08bc3d2a7c413c97ac10eb32e8af359d0094535d,92.13706895960459
0xea2f87d1afd323035e82a409e522625e1399f947,92.13706892147081
0x1b31fecec10efb0951d7e5947f2174a4440c86d8,92.13706892068515
0x3186f6710841ee9b0ec5f40f3fda8d1ec7a0fe43,92.13706892064614
0x4c69939dd51fb2a265a1619677a3522fb782a8e5,92.13706892064612
0xda37cbdd756bba49d04ef03f35b843bbf6819cae,92.13706892064612
0x129a2f22bf1b4585cf79a4e1dcc845e7854238cb,92.13706892064612
0xf78f345b5f5c1d647ffdef1e3a525cc00b9e0fc6,92.13706892064612
0xf47a5199146a271dbfc77f9f1df86dccfbc1f516,92.13701293424467
